BpHYR1_001056	Retrovirus-related Pol poly from transposon 297	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001136	autophagy-related 2 homolog B	autophagy-related protein -like	
BpHYR1_001189	unc-45 homolog A	unc-45 (C. elegans) -like protein	
BpHYR1_001190	KRR1 small subunit processome component homolog	KRR1 small subunit processome component -like protein	
BpHYR1_001192	transmembrane 161B	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001231	transmembrane 223	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001266	Uncharacterized protein APZ42_024847	-	
BpHYR1_001274	S-adenosylmethionine mitochondrial carrier homolog	S-adenosylmethionine mitochondrial carrier -like protein	
BpHYR1_001350	peroxidasin homolog isoform X2	peroxidasin -like protein	
BpHYR1_001355	UDP-sugar transporter DDB_G0278631 isoform X5	UDP-sugar transporter -like protein	
BpHYR1_001484	dispatched homolog 1-like	dispatched -like protein	
BpHYR1_001489	Os03g0805350	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001507	Uncharacterized protein APZ42_007712	-	
BpHYR1_001546	dnaJ homolog subfamily C member 9	dnaJ -like protein	
BpHYR1_001547	Coiled-coil domain-containing 134	coiled-coil domain-containing protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001594	calponin homology domain-containing DDB_G0272472-like	calponin homology domain-containing protein	
BpHYR1_001648	UPF0573 C2orf70 homolog	C2orf70 (H. sapiens) -like protein	
BpHYR1_001686	putative uncharacterized protein C1orf194 homolog	C1orf194 (H. sapiens) -like protein	
BpHYR1_001735	nuclear pore complex Nup107	nuclear pore complex protein Nup107	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001782	ribosomal RNA processing 1 homolog B isoform X2	ribosomal RNA processing 1 -like protein	
BpHYR1_001805	Os07g0188050	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001831	CD109 antigen	CD109 antigen -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_001912	phosphatase PTC7 homolog	phosphatase PTC7 -like protein	
BpHYR1_001916	amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11	-	
BpHYR1_001924	chromobox homolog 2	Chromobox -like protein	
BpHYR1_002034	malignant fibrous histiocytoma-amplified sequence 1 homolog	malignant fibrous histiocytoma-amplified sequence 1 -like protein	
BpHYR1_002057	dnaJ homolog subfamily A member 2	dnaJ -like protein	
BpHYR1_002080	putative (zgc:103692)	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002087	suppressor of tumorigenicity 14 homolog	suppressor of tumorigenicity 14 -like protein	
BpHYR1_002089	g- coupled receptor 158	G-coupled receptor -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002162	transmembrane FLJ37396	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002330	DGCR14 homolog	DGCR14 -like protein	
BpHYR1_002338	transmembrane 126A-like	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002485	tRNA wybutosine-synthesizing 2 homolog	tRNA wybutosine-synthesizing 2 -like protein	
BpHYR1_002495	putative uncharacterized protein C1orf228 homolog	C1orf228 (H. sapiens) -like protein	
BpHYR1_002509	nuclear pore complex Nup160 isoform X2	nuclear pore complex protein Nup160 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002515	integral membrane GPR137B	integral membrane protein GPR137B -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002550	E3 ubiquitin- ligase RNF213-like	E3 ubiquitin-ligase RNF213-like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002552	putative uncharacterized protein C9orf85 homolog	C9orf85 (H. sapiens) -like protein	
BpHYR1_002555	E3 ubiquitin- ligase RNF213-like	E3 ubiquitin-ligase RNF213-like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002556	E3 ubiquitin- ligase RNF213-like	E3 ubiquitin-ligase RNF213-like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002594	zinc finger 474-like	zinc finger protein 474 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002606	Retrovirus-related Pol poly from transposon 412	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002614	CD209 antigen isoform X1	CD209 antigen -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002767	coiled-coil domain-containing 103	coiled-coil domain-containing protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_002774	vitelline membrane outer layer 1 homolog	vitelline membrane outer layer 1 -like protein	
BpHYR1_002885	PRKR-interacting 1 homolog	PRKR-interacting 1 -like protein	
BpHYR1_003055	mitochondrial import receptor subunit TOM20 homolog	mitochondrial import receptor subunit TOM20 -like protein	
BpHYR1_003122	crumbs homolog 2-like isoform X1	crumbs -like protein	
BpHYR1_003127	vacuolar sorting-associated 72 homolog	vacuolar sorting-associated 72 -like protein	
BpHYR1_003147	centrosomal of 135 kDa	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_003212	enabled homolog isoform X3	enabled -like protein	
BpHYR1_003272	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_003458	DEHA2D00132p	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_003498	neurogenic locus notch homolog 2-like	neurogenic locus notch -like protein	
BpHYR1_003636	IWS1 homolog	IWS1 -like protein	
BpHYR1_003639	UDP-N-acetylglucosamine transferase subunit ALG13 homolog	UDP-N-acetylglucosamine transferase subunit ALG13 -like protein	
BpHYR1_003655	cell division cycle 27 homolog	cell division cycle 27 -like protein	
BpHYR1_003680	heterogeneous nuclear ribonucleo A2 B1 homolog isoform X1	heterogeneous nuclear ribonucleo A2 B1 -like protein	
BpHYR1_003746	3)-fucosyltransferase 6 isoform X1	alpha-(1-3)-fucosyltransferase 6	FATAL: SUSPECT_PRODUCT_NAMES: 28 features contain unbalanced brackets or parentheses
BpHYR1_003812	neurogenic locus notch homolog 1-like	neurogenic locus notch -like protein	
BpHYR1_003816	DBH-like monooxygenase 1 homolog	DBH monooxygenase -like protein	
BpHYR1_003956	A Chain Discovery Of Novel 7-azaindoles As Pdk1 Inhibitors	-	SUSPECT_PRODUCT_NAMES: 12 features May contain plural
BpHYR1_003957	leucine-rich repeat-containing C10orf11 homolog	leucine-rich repeat-containing C10orf11 (H. sapiens) -like protein	
BpHYR1_003983	next to BRCA1 gene 1 isoform X1	-	
BpHYR1_003989	phosphatase Slingshot homolog 2	phosphatase Slingshot 2 -like protein	
BpHYR1_004099	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_004129	alpha-ketoglutarate-dependent dioxygenase alkB homolog 4-like	alpha-ketoglutarate-dependent dioxygenase alkB -like protein	
BpHYR1_004179	UPF0553 C9orf64 homolog	C9orf64 (H. sapiens) -like protein	
BpHYR1_004245	tumor p63-regulated gene 1	tumor p63-regulated protein 1	
BpHYR1_004267	UPF0489 C5orf22 homolog	C5orf22 (H. sapiens) -like protein	
BpHYR1_004320	SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 isoform X2	SWI SNF-related matrix-associated actin-dependent regulator of chromatin -like protein	SUSPECT_PRODUCT_NAMES: 10 features Is longer than 100 characters. Remove descriptive phrases or synonyms from product names. Keep valid long product names, eg long enzyme names
BpHYR1_004393	putative multidrug resistance-associated lethal(2)03659	putative multidrug resistance-associated lethal -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004454	phosphatase PTC7 homolog	phosphatase PTC7 -like protein	
BpHYR1_004480	Hermansky-Pudlak syndrome 1 homolog	Hermansky-Pudlak syndrome 1 -like protein	
BpHYR1_004482	stum homolog	stum -like protein	
BpHYR1_004500	leucine-rich repeat soc-2 homolog	leucine-rich repeat soc-2 -like protein	
BpHYR1_004574	mesencephalic astrocyte-derived neurotrophic factor homolog	mesencephalic astrocyte-derived neurotrophic factor -like protein	
BpHYR1_004578	cilia- and flagella-associated 221	cilia- and flagella-associated protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004605	vacuolar sorting-associated 41 homolog	vacuolar sorting-associated 41 -like protein	
BpHYR1_004614	UPF0587 C1orf123 homolog	C1orf123 (H. sapiens) -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004659	splicing suppressor of white-apricot homolog isoform X2	splicing suppressor of white-apricot -like protein	
BpHYR1_004766	transmembrane 145	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004788	UPF0545 C22orf39 homolog	C22orf39 (H. sapiens) -like protein	
BpHYR1_004823	zinc finger 226-like isoform X3	zinc finger protein 226 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004851	capicua homolog	capicua -like protein	
BpHYR1_004945	transmembrane 144	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004954	putative G- coupled receptor 158	G-coupled receptor -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004964	Transmembrane 138	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_004998	transmembrane 199	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005035	ALPS_TACTR ame: Full=Anti-lipopolysaccharide factor Short=anti-LPS	Anti-lipopolysaccharide factor -like protein	
BpHYR1_005042	Retrovirus-related Pol poly from transposon 297	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005120	Transmembrane 194A	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005124	required for meiotic nuclear division 1 homolog	required for meiotic nuclear division protein -like	
BpHYR1_005128	ecdysoneless homolog isoform X1	Ecdysoneless -like protein	
BpHYR1_005162	MMS19 nucleotide excision repair homolog	MMS19 nucleotide excision repair protein -like	
BpHYR1_005248	cornichon homolog 1-like	cornichon -like protein	
BpHYR1_005249	coiled-coil domain-containing 170-like	coiled-coil domain-containing protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005256	60S ribosome subunit biogenesis NIP7 homolog	60S ribosome subunit biogenesis NIP7 -like protein	
BpHYR1_005289	suppressor of tumorigenicity 14 homolog	suppressor of tumorigenicity 14 -like protein	
BpHYR1_005342	centrosomal of 192 kDa isoform X1	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005346	HGH1 homolog	HGH1 -like protein	
BpHYR1_005362	190 kD antigen precursor	antigen precurser -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005422	limb region 1 homolog	limb region 1 -like protein	
BpHYR1_005646	AAEL015018	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_005680	inscuteable homolog isoform X2	inscuteable -like protein	
BpHYR1_005681	inscuteable homolog	inscuteable -like protein	
BpHYR1_005718	odr-4 homolog isoform X1	odr-4 -like protein	
BpHYR1_005734	transferring acyl groups	-	SUSPECT_PRODUCT_NAMES: 12 features May contain plural
BpHYR1_005778	cell division cycle 27 homolog	cell division cycle protein 27 -like	
BpHYR1_005852	non-structural maintenance of chromosomes element 4 homolog A	non-structural maintenance of chromosomes element 4 -like protein	
BpHYR1_005857	VAC14 homolog	VAC14 -like protein	
BpHYR1_005896	vacuolar sorting-associated 8 homolog isoform X1	vacuolar sorting-associated 8 -like protein	
BpHYR1_005921	dnaJ homolog subfamily B member 6-like isoform X4	dnaJ -like protein	
BpHYR1_005923	dnaJ homolog subfamily B member 6 isoform X2	dnaJ -like protein	
BpHYR1_005925	dnaJ homolog subfamily B member 6-like	dnaJ -like protein	
BpHYR1_005932	pre-mRNA-processing factor 40 homolog A	pre-mRNA-processing factor 40 -like protein	
BpHYR1_005972	zinc finger 521-like	zinc finger protein 521 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006015	exonuclease mut-7 homolog	exonuclease mut-7 -like protein	
BpHYR1_006195	putative uncharacterized protein CXorf65 homolog	CXorf65 (H. sapiens) -like protein	
BpHYR1_006266	transmembrane 248-like isoform X1	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006442	tRNA-splicing ligase homolog	tRNA-splicing ligase -like protein	
BpHYR1_006506	MON2 homolog isoform X1	MON2 -like protein	
BpHYR1_006508	MON2 homolog	MON2 -like protein	
BpHYR1_006509	Nuclear pore complex Nup153	nuclear pore complex protein Nup153 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006520	Protein CBG26711	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006544	transmembrane 135 isoform X1	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006600	degenerin unc-105	degenerin unc-105 (C. elegans) -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006613	E3 ubiquitin- ligase RNF213	E3 ubiquitin-ligase RNF213-like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006702	TELO2-interacting 1 homolog	TELO2-interacting 1 -like protein	
BpHYR1_006731	misato homolog 1-like	misato -like protein	
BpHYR1_006774	mutS homolog 5	mutS -like protein	
BpHYR1_006785	dispatched homolog 1	dispatched -like protein	
BpHYR1_006823	Retrovirus-related Pol poly from transposon 297	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006890	zinc finger 593	zinc finger protein 593 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_006935	C20orf24 homolog	C20orf24 (H. sapiens) -like protein	
BpHYR1_006981	FAM221A isoform X1	FAM221A (H. sapiens) -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_007028	LZIC	LZIC -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_007038	formin CG32138 isoform X2	formin -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_007100	odorant gustatory chemosensory receptor-like 122	odorant gustatory chemosensory receptor 122 -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_007176	vacuolar sorting-associated 52 homolog isoform X3	vacuolar sorting-associated 52 -like protein	
BpHYR1_007178	vacuolar sorting-associated 52 homolog	vacuolar sorting-associated 52 -like protein	
BpHYR1_007241	FAM177A1-like isoform X2	FAM177A1 (H. sapiens) -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_007361	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_007433	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_007443	ribosome biogenesis BRX1 homolog	ribosome biogenesis BRX1 -like protein	
BpHYR1_007483	neurogenic locus notch homolog 1-like	neurogenic locus notch -like protein	
BpHYR1_007499	RFT1 homolog	RFT1 -like protein	
BpHYR1_007535	transmembrane 189-like	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_007578	zyg-11 homolog B	zyg-11 -like protein	
BpHYR1_007604	intraflagellar transport 122 homolog	intraflagellar transport 122 -like protein	
BpHYR1_007607	Intraflagellar transport 122 homolog	Intraflagellar transport 122 -like protein	
BpHYR1_007624	intraflagellar transport 52 homolog	intraflagellar transport 52 -like protein	
BpHYR1_007703	autophagy-related 2 homolog B	autophagy-related 2 -like protein	
BpHYR1_007787	placenta-specific gene 8 -like	placenta-specific protein 8 -like	
BpHYR1_007832	slit homolog 1 -like	slit -like protein	
BpHYR1_007849	putative uncharacterized protein C4orf22 homolog	C4orf22 (H. sapiens) -like protein	
BpHYR1_007890	THO complex subunit 5 homolog	THO complex subunit 5 -like protein	
BpHYR1_007922	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_007988	RING finger 141-like	RING finger protein 141 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_008010	ectopic P granules 5 homolog	ectopic P granules 5 -like protein	
BpHYR1_008023	mitochondrial import receptor subunit TOM40 homolog 1-like	mitochondrial import receptor subunit TOM40  -like protein	
BpHYR1_008083	putative sodium potassium calcium exchanger CG1090	Sodium/potassium/calcium exchanger CG1090 -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_008160	vacuolar fusion CCZ1 homolog	vacuolar fusion CCZ1 -like protein	
BpHYR1_008240	3)-fucosyltransferase C-like	alpha-(1-3)-fucosyltransferase C-like	FATAL: SUSPECT_PRODUCT_NAMES: 28 features contain unbalanced brackets or parentheses
BpHYR1_008273	transmembrane 184B-like	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_008320	peroxidasin homolog	peroxidasin -like protein	
BpHYR1_008484	cytochrome c oxidase assembly factor 6 homolog	cytochrome c oxidase assembly factor 6 -like protein	
BpHYR1_008504	UPF0472 C16orf72 homolog	C16orf72 (H. sapiens) -like protein	
BpHYR1_008629	BUB3-interacting and GLEBS motif-containing ZNF207 isoform X2	BUB3-interacting and GLEBS motif-containing ZNF207 -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_008633	20	Steroid 17-alpha-hydroxylase 17-20	FATAL: SUSPECT_PRODUCT_NAMES: 4 features do not contain letters in product name
BpHYR1_008638	fizzy-related homolog	fizzy-related -like protein	
BpHYR1_008692	enhancer of polycomb homolog 1	enhancer of polycomb -like protein	
BpHYR1_008693	mothers against decapentaplegic homolog 1	mothers against decapentaplegic -like protein	
BpHYR1_008757	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_008814	FAM188B isoform X2	FAM188B (H. sapiens) -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_008819	band 7 AGAP004871-like	band 7 protein AGAP004871 (A. gambiae) -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_008820	vesicle transport through interaction with t-SNAREs homolog 1A isoform X3	vesicle transport through interaction with t-SNAREs -like protein	
BpHYR1_008905	unc-79 homolog	unc-79 (C. elegans) -like protein	
BpHYR1_008919	putative uncharacterized protein C10orf107 homolog isoform X2	C10orf107 (H. sapiens) -like protein	
BpHYR1_009037	slit homolog 2 isoform X1	slit -like protein	
BpHYR1_009067	FAM228B-like isoform X2	FAM228B (H. sapiens) -like protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009096	GPCR	GPCR -like protein	SUSPECT_PRODUCT_NAMES: 2 features may contain systematic gene product identifiers from phage
BpHYR1_009101	zinc finger 771	zinc finger protein 771 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009115	diaphanous homolog 2-like isoform X1	diaphanous -like protein	
BpHYR1_009167	transmembrane 201	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009182	Golgi apparatus membrane TVP23 homolog B	Golgi apparatus membrane TVP23 -like protein	
BpHYR1_009204	3)-fucosyltransferase 6-like	alpha-(1-3)-fucosyltransferase 6-like	FATAL: SUSPECT_PRODUCT_NAMES: 28 features contain unbalanced brackets or parentheses
BpHYR1_009316	Transmembrane 258	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009349	tumor susceptibility gene 101	tumor susceptibility protein 101 -like	
BpHYR1_009396	maelstrom homolog isoform X1	maelstrom -like protein	
BpHYR1_009429	zinc transporter ZIP13 homolog	zinc transporter ZIP13 -like protein	
BpHYR1_009446	suppressor of fused homolog	suppressor of fused -like protein	
BpHYR1_009455	Retrovirus-related Pol poly from transposon 412	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009458	CAAX prenyl protease 1 homolog	CAAX prenyl protease 1 -like protein	
BpHYR1_009666	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_009763	caseinolytic peptidase B homolog	caseinolytic peptidase B -like protein	
BpHYR1_009809	heterogeneous nuclear ribonucleo A2 B1 homolog isoform X1	heterogeneous nuclear ribonucleo A2 B1 -like protein	
BpHYR1_009848	RING finger 121	RING finger protein 121 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009863	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_009917	transmembrane 170A	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_009940	dnaJ homolog subfamily C member 1-like	dnaJ -like protein	
BpHYR1_009958	transmembrane 131	transmembrane protein -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_010035	Retrovirus-related Pol poly from transposon 412	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_010044	EMSY	EMSY -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_010045	multiple myeloma tumor-associated 2 homolog	multiple myeloma tumor-associated 2 -like protein	
BpHYR1_010082	zinc finger 598	zinc finger protein 598 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_010156	NRDE2 homolog	NRDE2 -like protein	
BpHYR1_010194	neugrin DDB_G0288135	neugrin -like protein	
BpHYR1_010299	3)-fucosyltransferase C-like	alpha-(1-3)-fucosyltransferase C-like	FATAL: SUSPECT_PRODUCT_NAMES: 28 features contain unbalanced brackets or parentheses
BpHYR1_010316	ferric-chelate reductase 1 homolog	ferric-chelate reductase 1 -like protein	
BpHYR1_010526	vacuolar sorting-associated 16 homolog	vacuolar sorting-associated 16 -like protein	
BpHYR1_010527	anamorsin homolog	anamorsin -like protein	
BpHYR1_010599	abnormal spindle-like microcephaly-associated homolog	abnormal spindle-like microcephaly-associated -like protein	
BpHYR1_010650	putative uncharacterized protein C15orf61 homolog	C15orf61 (H. sapiens) -like protein	
BpHYR1_010654	coiled-coil domain-containing 42 homolog	coiled-coil domain-containing protein	
BpHYR1_010709	GTP-binding Rhes	GTP-binding protein Rhes -like	SUSPECT_PRODUCT_NAMES: 12 features May contain plural
BpHYR1_010731	phosphatase PTC7 homolog	phosphatase PTC7 -like protein	
